Ville,Chanson,Artiste,complete_address,lat,lng,spotify
Paris,Le Chevalier de Paris ,Édith Piaf ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2k1rveovCTenl3RyW9ap5d
Paris,Chinatown Paris 13ème ,Bernard Lavilliers,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/10g3jYIN1HazUf41s6pAmO
Paris,Le Cœur de Paris ,Charles Trenet,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2jygezMEuDffjqWN0qKPvn
Paris,"Dans les musettes, à Paris ",Jean Cyrano ,"Paris, France",48.853536,2.348271,
Paris,"Dans les squares à Paris, au printemps ",Maurice Chevalier,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3LwYJcKSy4kABi0NluqlUW
Paris,Dans Paris y'a une dame ,Charles et Johnny,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1ViZ20wOcxS5K2igm1HRiq
Paris,De Marseille à Paris ,Maître Gims feat. Bedjik Dr. Beriz H Magnum et Soprano,"Paris, France",48.853536,2.348271,
Paris,Depuis que je suis à Paris ,Pills et Tabet ,"Paris, France",48.853536,2.348271,
Paris,En avril à Paris ,Charles Trenet,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/69wlvWhR1yB5riAQyvLZ88
Paris,En flânant dans Paris ,Luc Romann,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4KjJHSgA0RYDsNype1GfVb
Paris,L'Enfant de Paris ,Yves Montand,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4Xi1N7ywFhRQaJgA0xFUzi
Paris,Les Enfants de Paris ,Pierre Meige,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6JqsvTlwNclshOxEl1BBtE
Paris,Evening in Paris ,Quincy Jones,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/27zaw4Yv7lEsApxAvx596A
Paris,Femmes de Paris ,Nicoletta,"Paris, France",48.853536,2.348271,
Paris,Les Feux de Paris ,Jean Ferrat,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2hn7Gc9wxsI7Pt79sJdVjX
Paris,Les Filles de Paris ,Caterina Valente,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7pPkoWNKpCvFKL3SFHGjAQ
Paris,Les Filles de Paris ,Jean-François Michaël,"Paris, France",48.853536,2.348271,
Paris,Flamenco de Paris ,Léo Ferré ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7wr5KYXQNhRWMpBgvDBFC8
Paris,Fleur de Paris ,Gilles et Julien,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5ZbSHA6hXSySHNAAzPChmn
Paris,Fleur de Paris ,Jacques Hélian et son orchestre ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5PPSZxSYmn1izWcr8LyNCY
Paris,Flic de Paris ,Jehan Jonas,"Paris, France",48.853536,2.348271,
Paris,Free Man in Paris ,Joni Mitchell ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2by5mqpQ1ZP2G5FOIccMnu
Paris,Le Froid à Paris ,Gustave Nadaud,"Paris, France",48.853536,2.348271,
Paris,Give Paris One More Chance ,Jonathan Richman,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6vlel4nUL2SBCFaGzRg21U
Paris,Gosse de Paris ,Charles Aznavour,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4MqJcN0uhP8WPPrNnUZm3k
Paris,Les grands soirs de Paris ,Maurice Chevalier,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2tcHgPiYU4YIIAOX2WKz8a
Paris,Guess Who I Saw in Paris ,Buffy Sainte-Marie,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3kJ1OOHzh1GHntXMTcXyEJ
Paris,Ici Paris ,Noir Désir,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1IP3vIbr2WKMQbQ7UMft3E
Paris,"Il est cinq heures, Paris s'éveille ",Jacques Dutronc,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2CLeotsLhEUu0qkj56vbUj
Paris,Il fait beau à Paris ,Marc et André ,"Paris, France",48.853536,2.348271,
Paris,Il n'y a qu'un Paris ,André Dassary ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/31I6KLGubrqnO646bGsycy
Paris,I'm Throwing My Arms Around Paris ,Morrissey,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4SriWdx9Ywbp84lrc1fWBz
Paris,In the Absence of the Parisienne ,Malcolm McLaren,"Paris, France",48.853536,2.348271,
Paris,J'ai laissé mon cœur à Paris ,Georges Tabet,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0rOQL2e0cNfm5OYlNk2wUg
Paris,J'aime Paris ,Jean Tranchant ,"Paris, France",48.853536,2.348271,
Paris,J'aime Paris au mois de mai ,Charles Aznavour,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6OzqkQ0F3jAuXh5jMZ19zs
Paris,J'aime plus Paris ,Thomas Dutronc,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7tYLyoMAzQDrcCTUE3b6bS
Paris,J'avais quitté Paris ,Jacqueline Danno,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6rN27Jc3zFXdnAp4g15YOg
Paris,Je cherche Paris ,Francis Lemarque,"Paris, France",48.853536,2.348271,
Paris,Je hais Paris ,Pierre Loray,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0TpLbX4mqz8RyQiHwfKw1P
Paris,Je ne peux vivre qu'à Paris ,Annick Blin,"Paris, France",48.853536,2.348271,
Paris,Je ne pourrais jamais quitter Paris ,Dario Moreno,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/36Yx44Xu93dTUbdxnqB7pX
Paris,Je te dis : merci Paris ,Luis Mariano,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0HBd13V9pzprLUtQWlJnPI
Paris,Laisse-moi mon Paris tel qu'il est ,Colette Mars,"Paris, France",48.853536,2.348271,
Paris,La Légende des clochards de Paris ,Renée Caron,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0E0I7DlGaL7LRFRhHEjIb9
Paris,Let's Tango in Paris ,The Stranglers,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1LayfbtZnG0VLuf7BN9yhv
Paris,Le Long des rues de Paris ,Mouloudji,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4Q8K9siQgEZeBLsboPuXBN
Paris,Lorsque papa était à Paris en occupation ,Jean Dréjac,"Paris, France",48.853536,2.348271,
Paris,Les loups sont entrés dans Paris ,Serge Reggiani,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5ZWd8gAFWxxqpnWeG1f8Rd
Paris,Mademoiselle de Paris ,Jacqueline François ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1lsa547kCuWKpTlJDYLVKM
Paris,Le Mal de Paris ,Mouloudji ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/37eNf5n6txsK4Nm8Z58WMk
Paris,Marche des gamins de Paris ,Lejal ,"Paris, France",48.853536,2.348271,
Paris,Les matins de Paris ,Teki Latex et Lio,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/466fItjfnjzBZmrxVkxsTU
Paris,Meet You in Paris ,Jonas Brothers,"Paris, France",48.853536,2.348271,
Paris,Midinette de Paris ,Tino Rossi,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1aIllxZCBVY6ChBY1EL1se
Paris,Les Midinettes de Paris ,Mayol,"Paris, France",48.853536,2.348271,
Paris,Minuit à Paris ,Jean Tranchant,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5VOCrokY7nJHW4NW5Xq0m7
Paris,Miracle de Paris ,Luis Mariano,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3KaynhD2HesDd5vfwulpCe
Paris,"Moi, mon Paris ",Renée Lebas ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0TXkTS7NXZg0H6yPopWZnS
Paris,Moineau de Paris ,Mistinguett,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1ufIIrl7AEapmfO4q7giHc
Paris,Mon Paris ! ,Emma Liebel ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/542dDvmF4eGMIXgcxluXbz
Paris,Mon Paris qui rétrécit ,Annabel,"Paris, France",48.853536,2.348271,
Paris,Mon seul Paris ,Florelle,"Paris, France",48.853536,2.348271,
Paris,Mon vieux Paris ,Maurice Chevalier ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0iQff8O72GccuqkUg9EXF6
Paris,Mourir à Paris ,Bérurier noir,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1m3KfSupfWCYD2xqtqKyO7
Paris,Niggas in Paris ,Jay-Z et Kanye West,"Paris, France",48.853536,2.348271,
Paris,Notre-Dame de Paris ,Édith Piaf,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2YJrN9lRYQGzIDHLU9jjLQ
Paris,Notre rue de Paris ,Alain Barrière,"Paris, France",48.853536,2.348271,
Paris,Nous ne ferons pas pleurer Paris ,Glenmor,"Paris, France",48.853536,2.348271,
Paris,Novembre à Paris ,Cyril Mokaiesh,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0V2fqX5lEhPR0TaLBg4Stg
Paris,Nuits de Paris ,Georges Ulmer,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1BKguy9NSXJkvEJM76Twxn
Paris,Oh dis Paris ,Maurice Fanon,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5gmFotjN1kZN7EQvRHwIo0
Paris,Ohé Paris ,Charles Trenet,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1TMxILwsR6WB5xt3UVkzCD
Paris,On ne voit ça qu'à Paris ,Danielle Darrieux et Pierre Mingand,"Paris, France",48.853536,2.348271,
Paris,"Oui, je suis de Paris ",Mistinguett,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6jXXIwhQ9bKdisZT4H3Baw
Paris,Paris ,The ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/11nye4nJZR32TTNR5EE5c9
Paris,Paris ,Camille,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0gYBTj6yRspDo8SzngU3HA
Paris,Paris ,Benoît Dorémus,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6jAFfShe2VlB8kEguTUKNf
Paris,Paris ,Friendly Fires,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4OSEE9iEHADmTSCpxl87GJ
Paris,Paris ,Bernard Lavilliers,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6ZpRf563J0vxngmYF2hhl9
Paris,Paris ,Marc Lavoine,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2KlLW5Jdr8ThRTiYGFNnMW
Paris,Paris ,Little Dragon,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/13NVnPx18PtHzmdMfW1Udw
Paris,Paris ,Magic Man,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6kF2DYkORE9d17oPFomMPJ
Paris,Paris ,Gustave Nadaud ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/46TXGtK3GEu8phUGSJjbNb
Paris,Paris ,Yael Naim,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1LmHgRncZWdICNZ1mWCFxd
Paris,Paris ,Édith Piaf,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6FYwnJ9Qx1EzSXWDGTkueW
